title,body,labels,milestone
"[S0] Corrigir erros de compilação do Rust","Corrigir C1-C21 listados em docs/14-AUDITORIA-KIT.md §2.1. Ordem: audio_core, audio_agent, audio_api. Aceite: cargo build --workspace sem erro.","area/infra,type/fix,prio/p0","S0 Fundação"
"[S0] Pinar e corrigir dependências Rust","symphonia-decoder não existe; OTel com pareamento inválido; tokio-postgres 0.8 suspeito. Usar cargo add para pegar versões atuais e ajustar APIs. Ver docs/14 §2.2.","area/infra,type/chore,prio/p0","S0 Fundação"
"[S0] Substituir minio+aws-sdk-s3 por object_store","Uma abstração Storage sobre a crate object_store cobrindo local, MinIO e S3. Ver ADR-0006.","area/infra,type/chore,prio/p1","S0 Fundação"
"[S0] Mover testes de integração para dentro das crates","tests/ na raiz não é compilado (workspace sem [package]). Mover para crates/audio_core/tests/. Ver docs/14 §2.3.","area/infra,type/fix,prio/p1","S0 Fundação"
"[S0] Corrigir frontend para compilar","F1-F12 de docs/14 §3: pacote @xyflow/react, imports faltando, Tailwind, index.html, tsconfig. Aceite: npm run build sem erro.","area/ui,type/fix,prio/p0","S0 Fundação"
"[S0] Corrigir docker-compose e portas","Criar Dockerfile, remover volumes inexistentes, Grafana 3000 para 3001, separar compose de observabilidade. Ver docs/14 §4.","area/infra,type/fix,prio/p0","S0 Fundação"
"[S0] Corrigir pipeline de CI","Matriz de SO com apt-get só no Linux, linter em Python, cache de cargo, clippy e fmt bloqueantes, job de frontend. Ver docs/14 §5.","area/infra,type/fix,prio/p0","S0 Fundação"
"[S0] Remover segredos de config versionada","production.yaml com credenciais de Postgres; default.yaml com chaves do MinIO. Trocar por ${VAR} e criar .env.example.","area/infra,type/fix,prio/p0","S0 Fundação"
"[S0] Configurar ferramentas de formato e lint","rustfmt.toml, clippy.toml, .editorconfig, prettier, eslint. Adicionar ao CI como estágio bloqueante.","area/infra,type/chore,prio/p1","S0 Fundação"
"[S0] Setup do GitHub","Labels, milestones, templates de issue e PR, proteção da branch main. Ver docs/13 §7.","area/infra,type/chore,prio/p1","S0 Fundação"
"[S1] Newtypes com limites de parâmetro","CrossfadeMs, CompressionRatio, ThresholdDb, AttackMs, ReleaseMs, EqGainDb, TimeStretchFactor, LufsTarget, BlockSizeBeats, Percentile. Validação na desserialização. Tabela canônica em docs/05 §3.","area/domain,type/feat,prio/p0,pillar/validation","S1 Contratos"
"[S1] Parameter<T> com origem e precedência","Envelope {value, source, confidence}. USER_DEFINED nunca é sobrescrito pelo agente. Ver docs/03 §2.","area/domain,type/feat,prio/p0,pillar/validation","S1 Contratos"
"[S1] JobStatus e máquina de estados","Enum com transições validadas. Transição inválida = erro. Tabela em docs/03 §6.","area/domain,type/feat,prio/p0","S1 Contratos"
"[S1] Migrações SQLite e PostgreSQL","Schema completo de docs/06 §2. Forward-only, rodando no boot sem CLI externo.","area/api,type/feat,prio/p0","S1 Contratos"
"[S1] Adapter SQLite do AudioRepo","Modo WAL, PRAGMAs obrigatórios, escopo de tenant no adapter. Ver docs/06 §1.","area/api,type/feat,prio/p0","S1 Contratos"
"[S1] Adapter PostgreSQL com RLS","Políticas RLS, with_tenant_scope com set_config local à transação, usuário NOBYPASSRLS. Ver docs/08 §3.","area/api,type/feat,prio/p0","S1 Contratos"
"[S1] Fila: claim_next_job nos dois bancos","FOR UPDATE SKIP LOCKED no Postgres, BEGIN IMMEDIATE no SQLite. Heartbeat a cada 15s. Ver docs/06 §3.","area/api,type/feat,prio/p0,pillar/queue","S1 Contratos"
"[S1] Teste de concorrência da fila","10 workers concorrentes, cada job reivindicado exatamente uma vez. Rodar nos dois bancos. Cenários P1 e P2 de docs/10 §4.","area/api,type/test,prio/p0,pillar/queue","S1 Contratos"
"[S1] Trait Storage e adapters local e MinIO","ScopedStorage com prefixo por tenant e rejeição de path traversal. Ver docs/08 §4.","area/api,type/feat,prio/p0","S1 Contratos"
"[S1] Rotas de jobs, tracks e tools","CRUD conforme docs/03 §3. Incluir GET /tools com limites, para a UI não hardcodar.","area/api,type/feat,prio/p0","S1 Contratos"
"[S1] Middleware de autenticação e TenantContext","JWT com tenant_id nas claims, sessão local no primeiro boot. Ver docs/08 §2.","area/api,type/feat,prio/p0","S1 Contratos"
"[S1] Hub SSE com replay por Last-Event-ID","Broadcast por job_id, buffer de 200 eventos, heartbeat de 15s, retry de 3000ms. Ver docs/03 §5.","area/api,type/feat,prio/p0","S1 Contratos"
"[S1] Erros RFC 7807 e catálogo completo","problem+json com code, trace_id e errors[]. Catálogo em docs/03 §4.","area/api,type/feat,prio/p1","S1 Contratos"
"[S1] Exportar tipos TypeScript com ts-rs","Gerar ui/src/types/ a partir dos structs Rust. CI falha se estiver dessincronizado.","area/api,type/chore,prio/p1","S1 Contratos"
"[S1] Cliente de API e hook de SSE no frontend","Contra o backend real, com reconexão e Last-Event-ID. Cenário U6 de docs/10 §5.","area/ui,type/feat,prio/p0","S1 Contratos"
"[S2] Decodificação com symphonia e validação de entrada","decode_to_pcm com magic bytes, limites de tamanho, duração, sample rate e canais. Ver docs/04 §3 e docs/08 §5.","area/dsp,type/feat,prio/p0","S2 Motor DSP"
"[S2] Onset strength com flux espectral","Substituir a derivada de RMS por flux espectral. Ver docs/04 §4.1.","area/dsp,type/feat,prio/p0","S2 Motor DSP"
"[S2] Beat tracking com programação dinâmica","Autocorrelação para o período, DP para alinhar batidas, bpm_confidence. Invariantes I6. Ver docs/04 §4.2.","area/dsp,type/feat,prio/p0","S2 Motor DSP"
"[S2] Filtro de batidas fortes por percentil","Interpolação linear, não índice truncado. Ver docs/04 §4.3.","area/dsp,type/feat,prio/p1","S2 Motor DSP"
